OrderID,ProductID,Quantity,LineTotal,Category,Region,Country,OrderStatus,TotalAmount
ORD00000001,PROD00255,3,252.67,Books,East,Germany,Completed,150.01
ORD00000001,PROD00255,5,589.65,Automotive,East,Germany,Completed,150.01
ORD00000001,PROD00255,1,34.26,Beauty,East,Germany,Completed,150.01
ORD00000002,PROD00475,1,86.79,Office Supplies,North,UK,Completed,9.67
ORD00000003,PROD00165,4,593.24,Books,North,India,Completed,233.53
ORD00000003,PROD00165,1,112.71,Home & Kitchen,North,India,Completed,233.53
ORD00000004,PROD00050,3,230.49,Automotive,West,France,Completed,98.97
ORD00000004,PROD00050,1,38.71,Books,West,France,Completed,98.97
ORD00000005,PROD00256,3,335.28,Books,West,UK,Completed,392.28
ORD00000005,PROD00256,1,122.32,Toys,West,UK,Completed,392.28
ORD00000005,PROD00256,2,428.2,Home & Kitchen,West,UK,Completed,392.28
ORD00000005,PROD00256,3,312.33,Electronics,West,UK,Completed,392.28
ORD00000005,PROD00256,1,149.31,Office Supplies,West,UK,Completed,392.28
ORD00000006,PROD00337,4,246.35,Pet Supplies,West,Canada,Completed,126.73
ORD00000006,PROD00337,2,936.12,Automotive,West,Canada,Completed,126.73
ORD00000006,PROD00337,4,413.56,Sports,West,Canada,Completed,126.73
ORD00000006,PROD00337,1,61.4,Automotive,West,Canada,Completed,126.73
ORD00000007,PROD00279,5,289.46,Toys,South,Japan,Completed,171.15
ORD00000007,PROD00279,3,271.75,Beauty,South,Japan,Completed,171.15
ORD00000007,PROD00279,1,125.5,Office Supplies,South,Japan,Completed,171.15
ORD00000008,PROD00178,4,319.18,Sports,South,Australia,Completed,732.84
ORD00000008,PROD00178,3,199.66,Home & Kitchen,South,Australia,Completed,732.84
ORD00000008,PROD00178,3,337.72,Automotive,South,Australia,Completed,732.84
ORD00000008,PROD00178,1,98.56,Fashion,South,Australia,Completed,732.84
ORD00000009,PROD00371,3,61.92,Fashion,South,UK,Completed,113.68
ORD00000009,PROD00371,3,294.66,Sports,South,UK,Completed,113.68
ORD00000009,PROD00371,4,323.65,Books,South,UK,Completed,113.68
ORD00000009,PROD00371,1,36.23,Books,South,UK,Completed,113.68
ORD00000010,PROD00370,1,341.17,Home & Kitchen,West,UK,Completed,55.93
ORD00000011,PROD00025,1,106.65,Automotive,East,Germany,Completed,85.9
ORD00000012,PROD00216,4,125.75,Office Supplies,West,Japan,Completed,141.43
ORD00000013,PROD00053,4,300.66,Fashion,North,France,Completed,195.55
ORD00000013,PROD00053,5,256.69,Toys,North,France,Completed,195.55
ORD00000013,PROD00053,4,1478.32,Toys,North,France,Completed,195.55
ORD00000013,PROD00053,1,136.2,Home & Kitchen,North,France,Completed,195.55
ORD00000014,PROD00328,5,2997.74,Fashion,West,Germany,Pending,594.78
ORD00000014,PROD00328,1,41.36,Office Supplies,West,Germany,Pending,594.78
ORD00000014,PROD00328,5,546.2,Home & Kitchen,West,Germany,Pending,594.78
ORD00000014,PROD00328,1,262.68,Home & Kitchen,West,Germany,Pending,594.78
ORD00000015,PROD00083,1,175.1,Sports,Central,Canada,Completed,157.85
ORD00000015,PROD00083,1,201.35,Toys,Central,Canada,Completed,157.85
ORD00000015,PROD00083,4,282.53,Beauty,Central,Canada,Completed,157.85
ORD00000015,PROD00083,1,193.25,Home & Kitchen,Central,Canada,Completed,157.85
ORD00000016,PROD00040,1,82.34,Beauty,North,Canada,Completed,302.3
ORD00000016,PROD00040,4,269.72,Toys,North,Canada,Completed,302.3
ORD00000016,PROD00040,5,531.95,Beauty,North,Canada,Completed,302.3
ORD00000016,PROD00040,5,387.6,Automotive,North,Canada,Completed,302.3
ORD00000016,PROD00040,1,180.88,Sports,North,Canada,Completed,302.3
ORD00000017,PROD00302,4,721.96,Fashion,East,Japan,Completed,387.5
ORD00000017,PROD00302,5,514.85,Toys,East,Japan,Completed,387.5
ORD00000017,PROD00302,1,63.59,Pet Supplies,East,Japan,Completed,387.5
ORD00000018,PROD00029,1,39.1,Home & Kitchen,South,USA,Completed,150.99
ORD00000018,PROD00029,1,225.75,Fashion,South,USA,Completed,150.99
ORD00000019,PROD00169,2,79.07,Office Supplies,South,USA,Completed,102.92
ORD00000020,PROD00230,3,147.42,Books,Central,France,Completed,813.06
ORD00000020,PROD00230,6,540.65,Electronics,Central,France,Completed,813.06
ORD00000021,PROD00418,5,437.75,Fashion,Central,France,Completed,338.98
ORD00000021,PROD00418,1,132.26,Beauty,Central,France,Completed,338.98
ORD00000022,PROD00393,5,669.13,Toys,West,UK,Completed,293.31
ORD00000022,PROD00393,2,215.04,Automotive,West,UK,Completed,293.31
ORD00000022,PROD00393,1,79.33,Toys,West,UK,Completed,293.31
ORD00000023,PROD00391,2,207.54,Home & Kitchen,Central,Canada,Completed,192.65
ORD00000023,PROD00391,2,128.37,Sports,Central,Canada,Completed,192.65
ORD00000023,PROD00391,1,194.75,Pet Supplies,Central,Canada,Completed,192.65
ORD00000024,PROD00021,1,138.14,Electronics,East,Germany,Pending,10.67
ORD00000025,PROD00225,2,107.41,Pet Supplies,East,UK,Completed,306.86
ORD00000025,PROD00225,1,99.73,Books,East,UK,Completed,306.86
ORD00000026,PROD00341,1,144.31,Sports,South,UK,Completed,158.77
ORD00000027,PROD00417,4,137.05,Beauty,West,Australia,Completed,276.45
ORD00000027,PROD00417,4,151.91,Pet Supplies,West,Australia,Completed,276.45
ORD00000027,PROD00417,1,97.21,Office Supplies,West,Australia,Completed,276.45
ORD00000028,PROD00283,1,223.56,Books,West,Australia,Completed,48.22
ORD00000029,PROD00397,3,302.02,Electronics,Central,USA,Completed,26.82
ORD00000029,PROD00397,1,88.69,Home & Kitchen,Central,USA,Completed,26.82
ORD00000030,PROD00010,1,43.54,Office Supplies,East,Australia,Completed,18.48
ORD00000030,PROD00010,5,1359.9,Automotive,East,Australia,Completed,18.48
ORD00000030,PROD00010,2,170.2,Fashion,East,Australia,Completed,18.48
ORD00000030,PROD00010,1,139.45,Office Supplies,East,Australia,Completed,18.48
ORD00000031,PROD00495,12,905.16,Sports,North,France,Cancelled,949.55
ORD00000032,PROD00004,1,270.66,Home & Kitchen,South,UK,Shipped,137.25
ORD00000032,PROD00004,2,155.29,Pet Supplies,South,UK,Shipped,137.25
ORD00000032,PROD00004,4,281.01,Home & Kitchen,South,UK,Shipped,137.25
ORD00000032,PROD00004,5,951.45,Sports,South,UK,Shipped,137.25
ORD00000032,PROD00004,1,82.73,Sports,South,UK,Shipped,137.25
ORD00000033,PROD00436,1,78.14,Fashion,East,France,Completed,117.39
ORD00000034,PROD00094,3,394.35,Home & Kitchen,South,Australia,Completed,14.2
ORD00000034,PROD00094,5,639,Sports,South,Australia,Completed,14.2
ORD00000034,PROD00094,1,190.69,Toys,South,Australia,Completed,14.2
