OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal,Category
ORD00000001-01,ORD00000001,PROD00255,3,93.58,0.1,252.67,Books
ORD00000001-02,ORD00000001,PROD00278,5,117.93,0,589.65,Automotive
ORD00000001-03,ORD00000001,PROD00417,1,40.31,0.15,34.26,Beauty
ORD00000002-01,ORD00000002,PROD00475,1,86.79,0,86.79,Office Supplies
ORD00000003-01,ORD00000003,PROD00165,4,148.31,0,593.24,Books
ORD00000003-02,ORD00000003,PROD00145,1,112.71,0,112.71,Home & Kitchen
ORD00000004-01,ORD00000004,PROD00050,3,90.39,0.15,230.49,Automotive
ORD00000004-02,ORD00000004,PROD00064,1,40.75,0.05,38.71,Books
ORD00000005-01,ORD00000005,PROD00256,3,111.76,0,335.28,Books
ORD00000005-02,ORD00000005,PROD00104,1,135.91,0.1,122.32,Toys
ORD00000005-03,ORD00000005,PROD00102,2,214.1,0,428.2,Home & Kitchen
ORD00000005-04,ORD00000005,PROD00293,3,104.11,0,312.33,Electronics
ORD00000005-05,ORD00000005,PROD00271,1,175.66,0.15,149.31,Office Supplies
ORD00000006-01,ORD00000006,PROD00337,4,68.43,0.1,246.35,Pet Supplies
ORD00000006-02,ORD00000006,PROD00211,2,468.06,0,936.12,Automotive
ORD00000006-03,ORD00000006,PROD00098,4,103.39,0,413.56,Sports
ORD00000006-04,ORD00000006,PROD00236,1,72.24,0.15,61.4,Automotive
ORD00000007-01,ORD00000007,PROD00279,5,60.94,0.05,289.46,Toys
ORD00000007-02,ORD00000007,PROD00356,3,106.57,0.15,271.75,Beauty
ORD00000007-03,ORD00000007,PROD00155,1,139.45,0.1,125.5,Office Supplies
ORD00000008-01,ORD00000008,PROD00178,4,88.66,0.1,319.18,Sports
ORD00000008-02,ORD00000008,PROD00323,3,73.95,0.1,199.66,Home & Kitchen
ORD00000008-03,ORD00000008,PROD00025,3,118.5,0.05,337.72,Automotive
ORD00000008-04,ORD00000008,PROD00172,1,109.51,0.1,98.56,Fashion
ORD00000009-01,ORD00000009,PROD00371,3,20.64,0,61.92,Fashion
ORD00000009-02,ORD00000009,PROD00098,3,103.39,0.05,294.66,Sports
ORD00000009-03,ORD00000009,PROD00140,4,95.19,0.15,323.65,Books
ORD00000009-04,ORD00000009,PROD00163,1,40.25,0.1,36.23,Books
ORD00000010-01,ORD00000010,PROD00370,1,341.17,0,341.17,Home & Kitchen
ORD00000011-01,ORD00000011,PROD00025,1,118.5,0.1,106.65,Automotive
ORD00000012-01,ORD00000012,PROD00216,4,34.93,0.1,125.75,Office Supplies
ORD00000013-01,ORD00000013,PROD00053,4,79.12,0.05,300.66,Fashion
ORD00000013-02,ORD00000013,PROD00425,5,54.04,0.05,256.69,Toys
ORD00000013-03,ORD00000013,PROD00125,4,369.58,0,1478.32,Toys
ORD00000013-04,ORD00000013,PROD00373,1,136.2,0,136.2,Home & Kitchen
ORD00000014-01,ORD00000014,PROD00328,5,705.35,0.15,2997.74,Fashion
ORD00000014-02,ORD00000014,PROD00010,1,43.54,0.05,41.36,Office Supplies
ORD00000014-03,ORD00000014,PROD00007,5,109.24,0,546.2,Home & Kitchen
