OrderID,OrderDate,CustomerID,TotalAmount,OrderStatus,ShippingDate,DeliveryDate,Country,Region,Category
ORD00000001,15/05/2026,CUST001524,150.01,Completed,18/05/2026,22/05/2026,Germany,East,Books
ORD00000002,18/02/2021,CUST003112,9.67,Completed,21/02/2021,24/02/2021,UK,North,Office Supplies
ORD00000003,02/07/2021,CUST004163,233.53,Completed,04/07/2021,09/07/2021,India,North,Books
ORD00000004,14/02/2025,CUST000231,98.97,Completed,16/02/2025,25/02/2025,France,West,Automotive
ORD00000005,29/03/2024,CUST003358,392.28,Completed,30/03/2024,05/04/2024,UK,West,Books
ORD00000006,23/04/2023,CUST001451,126.73,Completed,28/04/2023,05/05/2023,Canada,West,Pet Supplies
ORD00000007,16/11/2022,CUST000563,171.15,Completed,20/11/2022,24/11/2022,Japan,South,Toys
ORD00000008,28/12/2026,CUST003784,732.84,Completed,31/12/2026,06/01/2027,Australia,South,Sports
ORD00000009,03/10/2023,CUST004387,113.68,Completed,06/10/2023,13/10/2023,UK,South,Fashion
ORD00000010,24/06/2020,CUST003059,55.93,Completed,25/06/2020,28/06/2020,UK,West,Home & Kitchen
ORD00000011,08/07/2021,CUST004018,85.9,Completed,10/07/2021,15/07/2021,Germany,East,Automotive
ORD00000012,16/06/2025,CUST003439,141.43,Completed,18/06/2025,22/06/2025,Japan,West,Office Supplies
ORD00000013,14/12/2022,CUST002124,195.55,Completed,17/12/2022,23/12/2022,France,North,Fashion
ORD00000014,21/08/2026,CUST002597,594.78,Pending,23/08/2026,,Germany,West,Fashion
ORD00000015,14/06/2026,CUST003374,157.85,Completed,19/06/2026,28/06/2026,Canada,Central,Sports
ORD00000016,21/07/2025,CUST003295,302.3,Completed,24/07/2025,27/07/2025,Canada,North,Beauty
ORD00000017,22/05/2026,CUST001423,387.5,Completed,24/05/2026,31/05/2026,Japan,East,Fashion
ORD00000018,18/11/2026,CUST004171,150.99,Completed,22/11/2026,30/11/2026,USA,South,Home & Kitchen
ORD00000019,07/12/2023,CUST000917,102.92,Completed,09/12/2023,17/12/2023,USA,South,Office Supplies
ORD00000020,11/01/2026,CUST003717,813.06,Completed,13/01/2026,17/01/2026,France,Central,Books
ORD00000021,31/01/2025,CUST002179,338.98,Completed,02/02/2025,11/02/2025,France,Central,Fashion
ORD00000022,14/03/2026,CUST004588,293.31,Completed,15/03/2026,24/03/2026,UK,West,Toys
ORD00000023,14/01/2023,CUST000288,192.65,Completed,16/01/2023,22/01/2023,Canada,Central,Home & Kitchen
ORD00000024,16/08/2026,CUST004128,10.67,Pending,21/08/2026,,Germany,East,Electronics
ORD00000025,08/09/2025,CUST004043,306.86,Completed,10/09/2025,20/09/2025,UK,East,Pet Supplies
ORD00000026,11/01/2024,CUST004195,158.77,Completed,13/01/2024,19/01/2024,UK,South,Sports
ORD00000027,15/07/2024,CUST002327,276.45,Completed,19/07/2024,26/07/2024,Australia,West,Beauty
ORD00000028,21/01/2021,CUST001906,48.22,Completed,22/01/2021,26/01/2021,Australia,West,Books
ORD00000029,30/11/2023,CUST001582,26.82,Completed,05/12/2023,14/12/2023,USA,Central,Electronics
ORD00000030,04/04/2020,CUST001527,18.48,Completed,09/04/2020,14/04/2020,Australia,East,Office Supplies
ORD00000031,29/11/2023,CUST002167,949.55,Cancelled,,,France,North,Sports
ORD00000032,09/12/2022,CUST000556,137.25,Shipped,11/12/2022,,UK,South,Home & Kitchen
ORD00000033,10/08/2022,CUST000697,117.39,Completed,15/08/2022,23/08/2022,France,East,Fashion
ORD00000034,18/01/2025,CUST003784,14.2,Completed,20/01/2025,27/01/2025,Australia,South,Home & Kitchen
ORD00000035,28/09/2020,CUST000162,4.09,Completed,29/09/2020,09/10/2020,Australia,North,Books
ORD00000036,20/08/2026,CUST002230,453.89,Completed,21/08/2026,26/08/2026,Germany,Central,Automotive
ORD00000037,13/01/2023,CUST003042,142.54,Completed,15/01/2023,19/01/2023,Japan,East,Pet Supplies
ORD00000038,31/08/2020,CUST003955,73.57,Completed,05/09/2020,10/09/2020,UK,West,Electronics
ORD00000039,13/08/2021,CUST002270,40.18,Cancelled,,,Japan,West,Electronics
ORD00000040,25/04/2020,CUST004812,120.84,Completed,30/04/2020,09/05/2020,USA,West,Fashion
ORD00000041,13/11/2022,CUST004705,47.39,Completed,17/11/2022,22/11/2022,India,Central,Office Supplies
ORD00000042,08/03/2024,CUST000641,53.57,Completed,12/03/2024,17/03/2024,Japan,West,Sports
ORD00000043,29/01/2022,CUST002373,91.19,Completed,30/01/2022,05/02/2022,UK,North,Books
ORD00000044,07/12/2021,CUST003435,69.21,Completed,08/12/2021,11/12/2021,France,Central,Fashion
ORD00000045,25/05/2020,CUST001577,26.16,Completed,28/05/2020,06/06/2020,India,North,Beauty
ORD00000046,10/02/2021,CUST003126,114.4,Completed,12/02/2021,15/02/2021,Germany,South,Books
ORD00000047,03/09/2021,CUST004475,154.43,Completed,07/09/2021,12/09/2021,Japan,North,Home & Kitchen
ORD00000048,17/08/2020,CUST001241,177.29,Completed,18/08/2020,26/08/2020,Australia,North,Sports
ORD00000049,26/08/2022,CUST003203,102,Completed,30/08/2022,03/09/2022,Canada,South,Books
ORD00000050,28/05/2026,CUST002953,26.53,Completed,30/05/2026,02/06/2026,Japan,West,Pet Supplies
ORD00000051,10/02/2020,CUST002777,22.93,Completed,14/02/2020,22/02/2020,Japan,East,Office Supplies
ORD00000052,02/05/2020,CUST000491,349.44,Completed,03/05/2020,08/05/2020,USA,East,Fashion
ORD00000053,28/09/2023,CUST004613,213.44,Completed,29/09/2023,09/10/2023,India,South,Beauty
ORD00000054,04/06/2022,CUST003781,221.26,Completed,05/06/2022,08/06/2022,Australia,North,Books
ORD00000055,23/01/2025,CUST001407,1.94,Completed,25/01/2025,31/01/2025,Australia,East,Beauty
ORD00000056,23/01/2026,CUST003119,220.07,Completed,28/01/2026,07/02/2026,Canada,East,Electronics
ORD00000057,05/11/2020,CUST003194,5.53,Completed,09/11/2020,13/11/2020,France,Central,Sports
ORD00000058,12/04/2020,CUST002080,73.25,Shipped,15/04/2020,,USA,Central,Automotive
ORD00000059,18/02/2023,CUST003339,477.53,Returned,19/02/2023,23/02/2023,USA,East,Beauty
ORD00000060,21/05/2026,CUST001370,1204.86,Completed,26/05/2026,30/05/2026,France,South,Sports
ORD00000061,25/04/2025,CUST000052,235.51,Completed,29/04/2025,05/05/2025,India,West,Home & Kitchen
ORD00000062,25/07/2024,CUST000441,215.64,Completed,27/07/2024,03/08/2024,France,Central,Automotive
ORD00000063,15/04/2023,CUST001080,626.11,Completed,17/04/2023,21/04/2023,France,West,Electronics
ORD00000064,15/06/2024,CUST000127,297.79,Completed,17/06/2024,23/06/2024,Australia,South,Beauty
ORD00000065,04/08/2026,CUST002211,23.99,Completed,05/08/2026,08/08/2026,UK,North,Fashion
ORD00000066,17/07/2026,CUST002225,289.61,Completed,20/07/2026,30/07/2026,Australia,West,Books
ORD00000067,27/04/2025,CUST001477,83.27,Completed,01/05/2025,07/05/2025,USA,Central,Beauty
ORD00000068,18/01/2022,CUST003447,92.96,Completed,21/01/2022,27/01/2022,Japan,Central,Fashion
ORD00000069,18/06/2021,CUST003853,83.68,Completed,22/06/2021,02/07/2021,India,South,Books
ORD00000070,04/10/2026,CUST002459,318.22,Completed,09/10/2026,14/10/2026,France,South,Office Supplies
ORD00000071,12/01/2023,CUST002826,81.38,Completed,15/01/2023,23/01/2023,USA,Central,Automotive
ORD00000072,03/04/2021,CUST003132,23.11,Completed,04/04/2021,08/04/2021,France,West,Beauty
ORD00000073,13/06/2026,CUST000905,246.2,Cancelled,,,Japan,West,Sports
ORD00000074,08/01/2026,CUST004764,531.57,Completed,09/01/2026,18/01/2026,Canada,South,Toys
ORD00000075,22/01/2026,CUST003315,328.59,Completed,25/01/2026,03/02/2026,India,Central,Beauty
ORD00000076,11/11/2022,CUST003924,106.13,Completed,16/11/2022,25/11/2022,USA,North,Fashion
ORD00000077,03/06/2021,CUST001753,372.61,Completed,07/06/2021,10/06/2021,France,East,Beauty
ORD00000078,09/02/2020,CUST004098,174.24,Completed,14/02/2020,24/02/2020,India,East,Fashion
ORD00000079,26/11/2022,CUST000194,60.89,Completed,01/12/2022,11/12/2022,Japan,Central,Beauty
ORD00000080,02/04/2026,CUST000726,13.79,Completed,07/04/2026,10/04/2026,Japan,East,Beauty
ORD00000081,02/07/2025,CUST002389,546.31,Completed,07/07/2025,12/07/2025,Germany,East,Toys
ORD00000082,17/12/2020,CUST003582,265.56,Completed,20/12/2020,29/12/2020,Australia,East,Pet Supplies
ORD00000083,28/05/2026,CUST004335,1201.61,Completed,30/05/2026,04/06/2026,Germany,North,Beauty
ORD00000084,19/03/2022,CUST002671,374.62,Completed,21/03/2022,28/03/2022,USA,South,Sports
ORD00000085,19/09/2025,CUST003581,293.71,Completed,22/09/2025,25/09/2025,UK,South,Toys
ORD00000086,27/08/2025,CUST001293,239.66,Completed,28/08/2025,06/09/2025,UK,East,Books
ORD00000087,28/07/2023,CUST002248,8.37,Completed,01/08/2023,04/08/2023,Canada,West,Books
ORD00000088,19/11/2021,CUST000541,57.35,Completed,21/11/2021,01/12/2021,Australia,West,Office Supplies
ORD00000089,30/08/2021,CUST000120,90.01,Pending,02/09/2021,,UK,Central,Pet Supplies
ORD00000090,07/01/2020,CUST001706,67.47,Completed,09/01/2020,12/01/2020,UK,South,Pet Supplies
ORD00000091,15/03/2020,CUST004494,68.18,Completed,20/03/2020,27/03/2020,France,West,Beauty
