ProductID,ProductName,Category,Subcategory,Price,Cost
PROD00001,Product 1,Home & Kitchen,Premium,133.94,48.88
PROD00003,Product 3,Sports,Standard,74.64,45.27
PROD00004,Product 4,Home & Kitchen,Premium,318.42,100.88
PROD00006,Product 6,Electronics,Premium,62.13,37.62
PROD00007,Product 7,Home & Kitchen,Standard,109.24,11.82
PROD00010,Product 10,Office Supplies,Bulk,43.54,17.64
PROD00011,Product 11,Sports,Bulk,290.77,45.58
PROD00012,Product 12,Automotive,Budget,95.01,17.47
PROD00015,Product 15,Books,Standard,55.67,43.23
PROD00017,Product 17,Home & Kitchen,Premium,89.05,23.43
PROD00018,Product 18,Toys,Premium,173.82,20.56
PROD00019,Product 19,Beauty,Budget,106.39,11.38
PROD00021,Product 21,Electronics,Bulk,162.52,62.62
PROD00022,Product 22,Office Supplies,Premium,82.06,42.91
PROD00025,Product 25,Automotive,Budget,118.5,13.32
PROD00026,Product 26,Automotive,Standard,116.66,40.12
PROD00028,Product 28,Sports,Budget,205.37,115.01
PROD00029,Product 29,Home & Kitchen,Standard,46,42.63
PROD00031,Product 31,Books,Bulk,61.35,47.06
PROD00032,Product 32,Beauty,Standard,37.15,20.97
PROD00033,Product 33,Beauty,Budget,172.44,161.58
PROD00035,Product 35,Home & Kitchen,Standard,120.22,32.59
PROD00039,Product 39,Office Supplies,Standard,96.51,42.98
PROD00040,Product 40,Beauty,Premium,96.87,11.13
PROD00041,Product 41,Sports,Premium,75.51,72.65
PROD00042,Product 42,Beauty,Bulk,293.63,36.07
PROD00043,Product 43,Books,Premium,47.14,36.55
PROD00044,Product 44,Sports,Budget,187.23,71.02
PROD00047,Product 47,Fashion,Budget,51.33,42.01
PROD00048,Product 48,Fashion,Standard,65.78,16.93
PROD00049,Product 49,Office Supplies,Budget,114.08,67.28
PROD00050,Product 50,Automotive,Bulk,90.39,45.26
PROD00052,Product 52,Beauty,Standard,68.43,28.74
PROD00053,Product 53,Fashion,Bulk,79.12,75.43
PROD00054,Product 54,Home & Kitchen,Premium,407.06,62.78
PROD00055,Product 55,Home & Kitchen,Standard,110.61,51.44
PROD00058,Product 58,Toys,Bulk,77.18,69.49
PROD00059,Product 59,Automotive,Bulk,87.55,21.44
PROD00060,Product 60,Office Supplies,Budget,224.59,99.64
PROD00061,Product 61,Office Supplies,Premium,169.5,26.38
PROD00062,Product 62,Home & Kitchen,Budget,276.51,17.79
PROD00064,Product 64,Books,Bulk,40.75,34.71
PROD00065,Product 65,Fashion,Bulk,97.49,36.5
PROD00069,Product 69,Books,Standard,48.11,42.2
PROD00070,Product 70,Fashion,Budget,172.57,20.4
PROD00073,Product 73,Pet Supplies,Premium,110.82,102.05
PROD00074,Product 74,Home & Kitchen,Budget,33.46,18.98
PROD00075,Product 75,Books,Standard,136.67,69.24
PROD00076,Product 76,Electronics,Standard,109.99,72.04
PROD00078,Product 78,Home & Kitchen,Bulk,113.8,30.83
PROD00079,Product 79,Home & Kitchen,Standard,400.46,79.76
PROD00082,Product 82,Books,Bulk,227.44,28.32
PROD00083,Product 83,Sports,Standard,194.55,75.96
PROD00085,Product 85,Beauty,Bulk,73.97,29.87
