ReturnID,OrderID,CustomerID,ReturnDate,Reason,RefundAmount,RestockingFee,Country,Region
RET000001,ORD00036359,CUST002446,03/03/2020,Defective,2.34,0.2,Germany,North
RET000002,ORD00030808,CUST000268,09/01/2023,Damage in shipping,469.82,47.54,UK,South
RET000003,ORD00023973,CUST003669,01/12/2020,No longer needed,255.06,16.77,UK,North
RET000004,ORD00014033,CUST000945,25/08/2025,Defective,297.68,11.64,France,East
RET000005,ORD00046657,CUST003374,17/03/2026,Damage in shipping,312.51,30.77,Canada,Central
RET000006,ORD00007854,CUST002488,20/02/2025,Defective,41.18,0.2,Japan,West
RET000007,ORD00042236,CUST002184,08/10/2023,Better price found,99.98,6.54,Australia,North
RET000008,ORD00025319,CUST002688,15/07/2022,No longer needed,45.62,1.33,UK,South
RET000009,ORD00021526,CUST001762,12/10/2020,Quality issue,84.84,12.47,India,North
RET000010,ORD00004545,CUST003198,27/05/2025,Damage in shipping,520.96,11.5,Japan,North
RET000011,ORD00041579,CUST000964,09/12/2021,Defective,163.13,16.55,UK,North
RET000012,ORD00034834,CUST001687,31/03/2024,Changed mind,372.5,8.15,Australia,North
RET000013,ORD00016799,CUST003670,09/03/2020,No longer needed,13.81,1.71,Canada,Central
RET000014,ORD00016225,CUST004006,24/05/2023,Better price found,111.3,7.78,Germany,South
RET000015,ORD00009084,CUST001788,03/07/2024,Changed mind,43.6,2.7,UK,Central
RET000016,ORD00041060,CUST004639,14/09/2026,Not as described,135.07,3.06,France,West
RET000017,ORD00014265,CUST001289,15/12/2022,Changed mind,27.97,4.57,Canada,North
RET000018,ORD00026872,CUST000036,31/03/2026,No longer needed,796.74,18.29,USA,East
RET000019,ORD00007662,CUST003844,02/12/2020,Changed mind,73.43,11.12,Japan,South
RET000020,ORD00003500,CUST004373,18/04/2023,Defective,135.12,7.55,Australia,South
RET000021,ORD00035977,CUST000062,15/07/2023,Quality issue,117.98,11.08,Japan,North
RET000022,ORD00028998,CUST001146,27/01/2023,Quality issue,18.4,2.99,USA,South
RET000023,ORD00020560,CUST001965,18/05/2024,Damage in shipping,93.05,8.2,UK,East
RET000024,ORD00021205,CUST003898,23/09/2026,Damage in shipping,1124.7,85.29,India,North
